Cable name,Location,Status,Documentation,Last person & Date,Remaining,Cable number,Type,Gauge (AWG),Length (m),KC705 EyeBertScan (NEW SCRIPT),,,,,KC705 EyeBertScan (OLD SCRIPT),,,,,Date of 4 pt Resistance,"4 Pt DC resistance (ohms), 33 pin to 45 pin",,,,,,,,,,Avg,ohms/m,Error,Impedance from VNA (S12 using 2-5ns window),,,,,Impedance from VNA (S12 variable time window),,,,,CROC Min TAP0,,,,SCC173 Min TAP0,,,,CROC - SCC,CROC - SCC,TotMass (g),Mass,Mass/Length,BERT,Cable Mass,VNA,Pics,Irradiated,Thermal Cycle,Eye from Chip,For CERN,Enveloped,EE in a box,Scrapped,Comments,,,,
Type 1,,,,,,,,,,D3(22-30/23-32),D2(20-22/21-24),D1(18-14/19-16),D0(16-6/17-8),CMD(12-2/13-4),D3,D2,D1,D0,CMD,,D3_N(J24-J73),D3_P(J62-J35),D2_N(J23-J71),D2_P(J61-J33),D1_N(J22-J69),D1_P(J60-J31),D0_N(J21-J67),D0_P(J59-J29),CMD_N(J20-J66),CMD_P(J58-J28),,,,CMD(12-2/13-4),D0(16-6/17-8),D1(18-14/19-16),D2(20-22/21-24),D3(22-30/23-32),CMD(12-2/13-4),D0(16-6/17-8),D1(18-14/19-16),D2(20-26/21-24),D3(22-30/23-32),D3 10(-10),D3 10(-14),D0 10(-10),D0 10(-14),D3 10(-10) ,D3 10(-14),D0 10(-10),D0 10(-14),D3,D0,,,,,,,,,,,,,,,,,,,
TP_1p6m_158_v2,Malott 4078,B ,Done,JS 7/27/22,"SCC is supsicious, otherwise good",158,1A,36,1.60,48080.00,47280.00,46080.00,44080.00,47120.00,,,,,,,3.1562,3.1534,3.1179,3.1049,3.1363,3.1265,3.1660,3.1404,3.1975,3.2323,3.15,,,114.00,115.00,118.00,118.00,116.00,126.00,124.00,128.00,125.00,125.00,no link ,,360,,150,200,"310, 320",473,x,40,2.776,,,,,,,,,,,✓,,,Second version of cable. SCC giving bad values. might be bad cable,,,,
TP_1p6m_159,Malott 4078,A ,Done,JS 7/27/22,mass,159,1A,36,1.60,46160.00,44960.00,45680.00,46400.00,45920.00,,,,,,,3.1647,3.2153,3.1363,3.1878,3.1576,3.2023,3.2199,3.1676,3.2654,3.2418,3.20,,,117.00,120.00,122.00,120.00,119.00,130.00,131.00,131.00,132.00,129.00,410*,,410*,,150,218,150,199,260,260,,,,,,,,,,,,✓,,,*CROC: no clock detection for TAP0 = 400,,,,
TP_1p6m_160,Malott 4078,A ,Done,JS 7/27/22,Done,160,1A,36,1.60,46480.00,47760.00,45200.00,43120.00,44080.00,26320.00,26880.00,19120.00,24560.00,30000.00,9/24/24,3.1386,3.1567,3.1097,3.1264,3.1326,3.1386,3.1410,3.1442,3.2074,3.2302,3.15,1.97,0.04,120.66,119.58,119.06,124.56,123.92,132.00,130.00,134.00,124.00,121.00,no link ,,390*,,140,203,170,248,x,220,2.816,,,,,,,,,,,✓,,,*CROC: no clock detection for TAP0 = 390,,,,
TP_1p6m_161,Malott 4078,A ,Done,JS 7/27/22,Done,161,1A,36,1.60,46560.00,46000.00,41280.00,45520.00,39760.00,25440.00,27440.00,25920.00,27600.00,26160.00,9/25/24,3.1457,3.1606,3.1136,3.1284,3.1371,3.1453,3.1498,3.1468,3.2089,3.3301,3.17,1.98,0.06,120.00,125.00,123.00,123.00,124.00,130.00,131.13,130.00,131.00,131.00,no link ,,390*,,190,239,180,255,x,210,2.805,,,,,,,,,,,✓,,,"High Reflection on CMD and D1, *CROC: no clock detection for TAP0 = 390",,,,
TP_1p6m_162,Malott 4078,A ,Done,JS 7/27/22,Done,162,1A,36,1.60,46880.00,45120.00,44480.00,46320.00,47920.00,29920.00,29600.00,25040.00,24480.00,20480.00,9/26/24,3.1630,3.1408,3.1071,3.1086,3.1336,3.1423,3.1436,3.1489,3.2319,3.2055,3.15,1.97,0.04,121.00,121.00,121.00,123.00,118.00,130.00,129.00,129.00,132.00,128.00,390*,,410*,,170,254,150,208,220,260,2.816,,,,,,,,,,,✓,,,"*CROC: no clock detection for TAP0 =380, 400",,,,
TP_1p6m_163,Malott 4078,A ,Done,JS 7/27/22,Done,163,1A,36,1.60,40000.00,38460 (redone),38240.00,38320.00,40480.00,18480.00,17280.00,18960.00,18720.00,25600.00,9/27/24,3.1530,3.1869,3.1148,3.1328,3.1409,3.1538,3.1468,3.1556,3.2391,3.2186,3.16,1.98,0.04,121.00,126.00,128.00,125.00,123.00,133.00,131.00,136.00,133.00,133.00,no link ,,no link,,170,224,250,352,x,x,2.472,,,,,,,,,,,✓,✓,,,,,,
TP_1p6m_164,Malott 4078,A ,Done,JS 7/27/22,Done,164,1A,36,1.60,37280.00,36160.00,38720.00,37120.00,32720.00,24880.00,21480.00,25360.00,21280.00,21680.00,9/28/24,3.1479,3.1838,3.1131,3.1359,3.1380,3.1487,3.1436,3.1543,3.2369,3.2405,3.16,1.98,0.04,125.00,123.00,124.00,125.00,116.00,130.00,129.00,130.00,128.00,122.00,no link ,,no link,,320,471,210,,x,x,2.502,,,,,,,,,,,✓,✓,,SCC tested from 100-400 TAP0,,,,
TP_1p6m_165,Malott 4078,A ,Done,JS 7/27/22,Done,165,1A,36,1.60,37520.00,40000.00,37760.00,41760.00,36400.00,18480.00,17520.00,24480.00,13520.00,24560.00,10/1/21,3.1240,3.1549,3.0953,3.1145,3.1122,3.1288,3.1220,3.1285,3.2215,3.1918,3.14,1.96,0.04,121.00,118.00,125.00,118.00,118.00,130.00,127.00,132.00,127.00,129.00,no link ,,no link,,180,266,180,265,x,x,2.442,,,,,,,,,,,✓,✓,,,,,,
TP_1p8m_166,Malott 1090,FAIL,N/A,,N/A,166,1A,36,1.80,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,✓,Scrapped.,,,,
TP_1p8m_167,Malott 4078,A ,Done,JS 7/27/22,Done,167,1A,36,1.80,33840.00,34560.00,31520.00,34320.00,30800.00,22480.00,25360.00,18480.00,20400.00,17040.00,10/2/21,3.4193,3.4520,3.3883,3.4128,3.4082,3.4275,3.4162,3.4315,3.5104,3.4891,3.44,1.91,0.04,126.00,126.00,123.00,126.00,122.00,135.00,137.00,133.00,135.00,132.00,no link ,,no link,,190,277,240,,x,x,2.736,,,,,6/22/21,,,,,,✓,✓,,,,,,
TP_1p8m_168,Malott 1090,FAIL,N/A,,N/A,168,1A,36,1.80,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,x,,x,,x,,x,,x,x,,,,,,,,,,,,,✓,✓,"Breaks: D0-, D2+, D3-; D0- and D3- are swapped.",,,,
TP_1p8m_168_v2,Malott 4078,A ,Done,JS 7/27/22,Done,168,1A,36,1.80,36720.00,36000.00,36240.00,37760.00,38720.00,,,,,,,3.4138,3.4386,3.3881,3.3989,3.4040,3.4155,3.4244,3.4305,3.5070,3.4826,3.43,,,125.00,118.00,127.00,127.00,125.00,134.00,130.00,136.00,137.00,134.00,no link ,,no link,,140,198,210,329,x,x,2.999,,,,,,,,,,,✓,,,Second version of cable.,,,,
TP_1p8m_169,Malott 4078,B,Done,,Concerned about DC res. and low Impedance,169,1A,36,1.80,34480.00,33360.00,32480.00,35040.00,30640.00,24000.00,25840.00,24560.00,17680.00,20720.00,10/4/21,3.4332,3.4641,3.4400 (redone),3.4250,3.4160,3.7560,3.4306,3.4336,3.5122,3.4877,3.48,1.94,0.10,126.00,129.00,93.00,121.00,122.00,134.00,133.00,93.00,127.00,129.00,,,,,300,447,210,289,x,x,2.746,,,,,,,,,,,✓,✓,,tested D3 SCC twice and both times were 300,,,,
TP_1p8m_170,Malott 4078,B,Done,,High SCC,170,1A,36,1.80,34720.00,35920.00,35840.00,36960.00,33840.00,,,,,,,3.4103,3.4784,3.3756,3.3983,3.4014,3.4175,3.4102,3.4334,3.4981,3.4798,3.43,,,124.00,123.00,124.00,125.00,123.00,131.00,134.00,132.00,134.00,132.00,,,,,230,315,"340, 370",,x,x,,,,,,,,,,,,✓,✓,,,,,,
TP_1p8m_171,Malott 1090,FAIL,N/A,,N/A,171,1A,36,1.80,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,✓,Scrapped.,,,,
TP_1p8m_172,Malott 4078,A ,Done,,MASS,172,1A,36,1.80,34880.00,37920.00,34080.00,36560.00,30640.00,24960.00,19280.00,22240.00,23040.00,15120.00,,3.4573,3.4252,3.4161,3.3938,3.4296,3.4117,3.4393,3.4194,3.5005,3.5159,3.44,1.91,0.04,126.52,123.73,130.24,127.85,125.49,137.24,135.16,136.85,136.32,135.56,,,,,200,256,210,298,x,x,,,,,,,,,,,,✓,✓,,plots show several different min TAP0 values,,,,
TP_1p8m_173,Malott 1090,FAIL,N/A,,N/A,173,1A,36,1.80,36160.00,30240.00,31920.00,30400.00,36160.00,,,,,,,3.4320,3.4460,3.3860,3.4130,3.4180,3.4380,3.4250,"3.8874, 18.1",3.5470,3.4990,3.44,,,127.11,131.45,128.18,134.29,128.17,136.00,138.00,135.00,134.00,128.00,x,,x,,x,,"430, 860",,x,x,,,,,,,,,,,,✓,✓,,"June 17, 2022: Retested SCC and got bigger values, and then checked DC resistance on D0_P and it was higher. Sent to Bill for repair.",,,,
TP_1p8m_174,Malott 1090,INCOMPLETE ,N/A,,N/A,174,1A,36,1.80,38720.00,36800.00,33760.00,36400.00,33120.00,,,,,,,3.4464,3.7461,30+,3.5549,3.4281,3.4456,3.4886,3.6363,3.5270,3.5119,3.53,,,120.00,121.00,125.00,123.00,105.00,132.00,128.00,134.00,134.00,114.00,,,,,1000+,,260,366,x,x,,,,,,,,,,,,✓,✓,,"fixed, SCC tested from 100-1000 without BERT going to zero",,,,
TP_1p8m_175,Malott 4078,A ,Done,,Done,175,1A,36,1.80,31440.00,34640.00,33600.00,32800.00,33040.00,,,,,,,3.4272,3.4493,3.3952,3.4095,3.4132,3.5152,3.5347,3.4329,3.5137,3.5168,3.46,,,125.00,125.00,120.00,127.00,123.00,134.00,134.00,125.00,135.00,134.00,,,,,300,428,"370, 330",482,x,x,,,,,,,,,,,,✓,✓,,SCC might need retest if VNA checks out,,,,
TP_1p8m_176,Malott 4078,A ,Done,,Done,176,1A,36,1.80,35760.00,37680.00,30960.00,32080.00,27840 (redone),,,,,,,3.4426,3.4651,3.7581,3.4275,3.4232,3.4406,3.4263,3.4421,3.5173,3.5182,3.49,,,124.00,125.00,125.00,122.00,123.00,133.00,133.00,132.00,131.00,130.00,,,,,210,286,"340, 220",,x,x,,,,,,,,,,,,✓,✓,,,,,,
TP_1p8m_177,Malott 4078,A ,Done,,mass,177,1A,36,1.80,31440.00,30960.00,30320.00,31120.00,31120.00,,,,,,,3.4380,3.4692,3.4041,3.4360,3.4338,3.4527,3.4565,3.4673,3.5342,3.5243,3.46,,,121.00,127.00,123.00,126.00,121.00,132.00,134.00,132.00,130.00,131.00,,,,,590,,230,295,x,x,,,,,,,,,,,,✓,✓,,,,,,
TP_2m_178,Malott 1090,INCOMPLETE ,N/A,,N/A,178,1A,36,2.00,,,,,,19440.00,fail,21600.00,21520.00,19360.00,,3.6836,3.6894,3.6691,inf,3.6928,3.6705,3.6954,3.6832,3.7525,3.7689,3.70,1.85,0.03,135.66,134.95,136.63,51.53,130.07,142.11,142.08,145.28,50.77 (High Reflection),143.76,x,,x,,x,,290,422,x,x,,,,,,,,,,,,✓,✓,,D2_P is bad - no connection on multimeter. broken probably send back to bill,,,,
TP_2m_179,Malott 4078,A ,Done,JS 7/27/22,mass,179,1A,36,2.00,31040.00,32080.00,32640.00,32240.00,27920.00,,,,,,,3.7180,3.7350,3.6780,3.6980,3.7080,3.7380,3.7260,3.7440,3.8270,3.7880,3.74,,,122.51,127.07,118.57,123.84,124.34,134.00,137.00,132.00,135.00,136.00,no link ,,no link,,250,320,250,361,x,x,,,,,,,,,,,,✓,✓,,,,,,
TP_2m_180 ,Malott 4078,B (?),N/A,,Retake Impedance,180,1A,36,2.00,38000.00,36000.00,34000.00,35760.00,35040.00,,,,,,,3.8621,3.7432,3.6796,3.7008,3.7012,3.7182,3.7231,3.7251,3.8302,3.8138,3.75,,,120.00,123.00,125.00,121.00,86.00,132.00,133.00,133.00,133.00,90.00,,,,,170,226,180,297,x,x,,,,,,,,,,,,✓,✓,,D3 could not get to 0 error rate before running BERT scan. send to bill,,,,
TP_2m_181,Malott 1090,FAIL,N/A,,N/A,181,1A,36,2.00,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,x,,x,,x,,x,,x,x,,,,,,,,,,,,✓,✓,✓,Tested first with original lashing; will be tested after lashing. Broken.,,,,
TP_2m_181_v2,Malott 4078,A ,Done,JS 7/27/22,mass,181,1A,36,2.00,33200.00,32560.00,34880.00,34080.00,34400.00,,,,,,,3.6915,3.7151,3.6573,3.6839,3.6766,3.6967,3.6842,3.6984,3.7745,3.7579,3.70,,,123.00,122.00,124.00,123.00,121.00,138.00,137.00,137.00,135.00,135.00,no link ,,no link,,220,,300,476,x,x,,,,,,,,,,,,✓,,,Second version of cable.,,,,
TP_2m_182,Malott 1090,INCOMPLETE ,N/A,,N/A,182,1A,36,2.00,30320.00,36000.00,30880.00,34640.00,0 (fail),,,,,,,3.7273,3.7512,3.6914,3.7141,3.7549,3.7378,3.7187,3.7319,inf,3.8041,,,,92.00,123.00,131.00,126.00,125.00,95.00,139.00,139.00,136.00,137.00,x,,x,,x,,490+,,x,x,,,,,,,,,,,,✓,✓,,"Tested first with original lashing; will be tested after lashing. Break for CMD-., tested SCC from 100-490",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PASS,13,,,,,,,Length,Avg,Std Dev,,,,,,,,,Length,Avg,Std Dev,,,,,,,,,,,,Length,Avg,Std Dev,,,Length,Avg,Std Dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INCOMPLETE ,3,,,,,,,0.35,59876,1915,,,,,,,,,0.35,1.31,0.04,,,,,,,,,,,,0.35,116.69,6.61,,,0.35,117.69,8.23,,,,,,,,,,,,,,,,,,,,,,,,,,,CROC Min TAP0: The * indicates at least one TAP0 setting in which there was a clock error.,,,,
,FAIL,12,,,,,,,0.80,54200,2561,,,,,,,,,0.80,2.03,0.04,,,,,,,,,,,,0.80,126.98,8.12,,,0.80,131.49,7.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.00,52280,1833,,,,,,,,,1.00,2.31,0.05,,,,,,,,,,,,1.00,125.65,10.98,,,1.00,118.17,27.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A's,37,,,,,,,1.40,44430,9308,,,,,,,,,1.40,2.87,0.06,,,,,,,,,,,,1.40,130.87,2.75,,,1.40,139.49,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B's,6,,,,,,,1.60,43981,3818,,,,,,,,,1.60,3.16,0.05,,,,,,,,,,,,1.60,120.82,3.09,,,1.60,129.72,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fail,15,,,,,,,1.80,34051,2490,,,,,,,,,1.80,3.46,0.07,,,,,,,,,,,,1.80,123.78,6.06,,,1.80,131.92,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Incomplete,0,,,,,,,2.00,33457,2407,,,,,,,,,2.00,3.73,0.05,,,,,,,,,,,,2.00,119.61,18.06,,,2.00,133.18,13.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
