Cable name,Location,Status,Documentation,Last person & Date,Remaining,Cable number,Type,Gauge (AWG),Length (m),KC705 EyeBertScan (NEW SCRIPT),,,,,KC705 EyeBertScan (OLD SCRIPT),,,,,Date of 4 pt Resistance,"4 Pt DC resistance (ohms), 33 pin to 45 pin",,,,,,,,,,Avg,ohms/m,Error,Impedance from VNA (S12 using 2-5ns window),,,,,Impedance from VNA (S12 variable time window),,,,,CROC Min TAP0,,,,SCC173 Min TAP0,,,,CROC - SCC,CROC - SCC,TotMass (g),Mass,Mass/Length,BERT,Cable Mass,VNA,Pics,Irradiated,Thermal Cycle,Eye from Chip,For CERN,Enveloped,EE in a box,Scrapped,Comments,,,,
Type 1,,,,,,,,,,D3(22-30/23-32),D2(20-22/21-24),D1(18-14/19-16),D0(16-6/17-8),CMD(12-2/13-4),D3,D2,D1,D0,CMD,,D3_N(J24-J73),D3_P(J62-J35),D2_N(J23-J71),D2_P(J61-J33),D1_N(J22-J69),D1_P(J60-J31),D0_N(J21-J67),D0_P(J59-J29),CMD_N(J20-J66),CMD_P(J58-J28),,,,CMD(12-2/13-4),D0(16-6/17-8),D1(18-14/19-16),D2(20-22/21-24),D3(22-30/23-32),CMD(12-2/13-4),D0(16-6/17-8),D1(18-14/19-16),D2(20-26/21-24),D3(22-30/23-32),D3 10(-10),D3 10(-14),D0 10(-10),D0 10(-14),D3 10(-10) ,D3 10(-14),D0 10(-10),D0 10(-14),D3,D0,,,,,,,,,,,,,,,,,,,
TP_1p6m_110,Malott 1090,FAIL,,,all,110,1B,34,1.60,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Circuit 10 open, several swapped.",,,,
TP_1p8m_111,Malott 4078,INCOMPLETE ,,,"EyeBert Scan (new script), mass, pics, SCC",111,1B,34,1.80,,,,,,19920.00,28480.00,19200.00,17840.00,22320.00,,2.4553,2.4597,2.4201,2.4169,2.4469,2.4355,2.4535,2.4413,2.6430,2.4991,2.47,1.37,0.06,138.23,14.06,136.84,144.93,144.36,150.43,158.17,154.71,159.85,155.73,,,,,,,,,,,,,,✓,,✓,,,,,,✓,,,,,,,
TP_1p8m_112,Malott 1090,FAIL,,,all,112,1B,34,1.80,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Circuit 2 open, 3 & 4 shorted",,,,
TP_2m_113,Malott 4078,INCOMPLETE ,,,"EyeBert Scan (new script), mass, SCC",113,1B,34,2.00,,,,,,16320.00,19760.00,21760.00,25440.00,23120.00,,2.6323,2.6376,2.6009,2.6076,2.6182,2.6160,2.6331,2.6275,2.7203,2.6840,2.64,1.32,0.03,146.78,145.17,144.84,143.08,146.88,161.71,160.83,164.75,159.98,159.54,,,,,,,,,,,,,,✓,,✓,✓,,,,,✓,,,,,,,
TP_2m_114,Malott 1090,FAIL,,,all,114,1B,34,2.00,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,– Circuit 2 & 3 shorted,,,,
TP_0p35m_134,Malott 4078,FAIL,N/A,,N/A,134,1A,36,0.35,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,x,,x,,x,,x,,x,x,,,,,,,,,,,,,✓,✓,Original cable was broken during production. New cable create by Bill and return as 134'.,,,,
TP_0p35m_134_v2,Malott 4078,B,Done,JS 7/27/22,Done,134,1A,36,0.35,56560.00,60000.00,56640.00,58480.00,57840.00,,,,,,6/6/22,1.2735,1.2837,1.2396,1.2468,1.2619,1.2656,1.2718,1.2836,1.3522,1.3284,1.28,,,120.00,116.00,123.00,116.00,116.00,121.00,120.00,127.00,122.00,117.00,170*,,150*,,90,130,80,109,80,70,0.694,,,,,,,,,,,✓,,,"Second version of cable, *CROC: no clock detection for TAP0 = 140",,,,
TP_0p35m_135,Malott 1090,FAIL,N/A,,N/A,135,1A,36,0.35,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,x,,x,,x,,x,,x,x,,,,,,,,,,,,,✓,,Break during production.,,,,
TP_0p35m_135_v2,Malott 4078,B,Done,JS 7/27/22,Done,135,1A,36,0.35,56480.00,58800.00,60400.00,60640.00,59680.00,,,,,,6/6/22,1.2810,1.2959,1.2490,1.2609,1.2713,1.2768,1.2864,1.2763,1.3636,1.3344,1.29,,,127.00,121.00,125.00,119.00,118.00,130.00,126.00,127.00,127.00,118.00,170*,,170*,,90,129,"150, 180",,80,-10,0.724,,,,,,,,,,,✓,,,"Second version of cable, *CROC: no clock detection for TAP0 = 160",,,,
TP_0p35m_136,Rice,A,N/A,,Done,136,1A,36,0.35,,,,,,31200.00,29360.00,41040.00,39120.00,35840.00,10/1/21,1.3740,1.3721,1.3132,1.3126,1.3115,1.3076,1.2820,1.2906,1.3280,1.3156,1.32,3.77,0.03,120.38,118.35,122.69,119.54,123.13,122.10,120.53,121.93,121.79,120.88,x,,x,,x,,x,,x,x,0.792,0.792,2.262857143,✓,✓,✓,✓,,,,,✓,✓,,,,,,
TP_0p35m_137,Malott 4078,A ,Done,JS 7/27/22,Done,137,1A,36,0.35,61360.00,59840.00,58960.00,62160.00,62160.00,32400.00,35920.00,33840.00,44240.00,37840.00,,1.3193,1.3234,1.3873,1.3781,1.3486,1.3316,1.3402,1.3177,1.3026,1.2915,1.33,3.81,0.03,119.01,108.99,101.51,111.75,118.15,117.00,110.00,100.00,112.00,118.00,160**,,140*,,80,109,90,,80,50,0.764,,,,,,,,,,,,✓,,"Circuit 5 (D1_P) has 12.5 Ohm resistance measured on yellow board, *CROC: no clock detection for TAP0 = 130,**CROC: no clock detection for TAP0 = 140,150",,,,
TP_0p35m_138,Malott 4078,A ,Done,JS 7/27/22,Done,138,1A,36,0.35,60720.00,62400.00,61360.00,61920.00,61120.00,,,,,,,1.3314,1.3332,1.3878,1.3932,1.3235,1.3326,1.3446,1.3349,1.3182,1.2974,1.34,3.83,0.03,112.34,105.89,110.63,103.18,120.68,109.00,103.00,107.00,103.00,121.00,130*,,130*,,100,146,110,153,70,30,0.7869,,,,,,,,,,,,✓,,"Circuit 5 (D1_P) has 11.1 Ohm resistance measured on yellow board, *CROC: no clock detection for TAP0 = 160",,,,
TP_0p8m_139,Malott 4078,FAIL ,N/A,,N/A,139,1A,36,0.80,,,,,,,,,,,6/6/22,2.0077,1.9986,2.0455,inf,2.0223,2.0163,2.0775,2.0785,2.0196,2.0251,2.03,2.54,0.03,,,,,,,,,,,x,,x,,x,,x,,x,x,,,,,,,,,,,,,✓,,,,,,
TP_0p8m_139_v2,Malott 4078,A ,Done,JS 7/26/22,Done,139,1A,36,0.80,59440.00,58720.00,54960.00,56960.00,56960.00,,,,,,,2.0597,2.1106,2.0632,2.0368,2.0304,2.0446,2.0364,2.0316,2.0909,2.0856,2.06,,,125.00,123.00,123.00,120.00,123.00,128.00,126.00,126.00,123.00,126.00,210*,,190*,,100,,90,,110,100,,,,,,,,,,,,,✓,,"Second version of cable, *CROC: no clock detection for TAP0 = 200,180",,,,
TP_0p8m_140,Rice,A,N/A,,Done,140,,36,0.80,,,,,,28240.00,27600.00,18480.00,26160.00,24080.00,10/1/21,2.0136,2.0283,1.9809,2.0009,2.0062,2.0083,2.0073,2.0122,2.0703,2.0701,2.02,2.52,0.03,120.00,119.36,116.96,114.67,102.24,120.24,119.21,118.21,116.34,149.31,x,,x,,x,,x,,x,x,1.141,1.414,1.7675,✓,✓,✓,✓,,,,,✓,✓,,Unlashed,,,,
TP_0p8m_141,Malott 1090,FAIL,,,N/A,141,1A,36,0.80,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,x,,x,,x,,x,,x,x,,,,,,,,,,,,,✓,✓,Break during production.,,,,
