Harness #,Shipped,Requested,Type,AWG,Wire Lot,Length (Meters),Cut,Cutter,Stripped,Stripper,45pin paddle code,15pin paddle code,Soldered,Solder,Solderer,Continuity + shorts,OK/NG,Repairs,Cleaned,Continuity,OK/NG,Repairs,Epoxy,Epoxy type,Epoxier,Continuity + shorts,OK/NG,Repairs,Lashing,Continuity + shorts,OK/NG,Visual inspection,Turned over,Repaired,Visual inspection 2,weeknum,Turned over 2,Notes,week of completion,,,,,,,,,,
718,04-08-25,after 4,2.3 R1_G2,36,L218494,0.330,05-03-24,Bill,05-03-24,Bill,W50336ASE390,W50336ASC408,06-17-24,Sn63Pb37,Ronnie,06-18-24,OK ,,,,,,06-20-24,UR6060,ronnie,06-20-24,OK ,,06-21-24,06-21-24,OK ,,06-21-24,,,9,,Made from scrapped 499   ,,,,,,,,,,,
719,04-08-25,after 4,2.3 R1_G2,36,L218494,0.330,05-03-24,Bill,05-03-24,Bill,W50336ASE390,W50336ASC408,06-18-24,Sn63Pb37,Ronnie,06-18-24,NG,2024-06-18,,2024-06-18,OK ,,06-20-24,UR6060,ronnie,06-20-24,OK,,06-21-24,06-21-24,OK ,,06-21-24,,,9,,Made from scrapped 499  &500,,,,,,,,,,,
720,04-08-25,after 4,2.3 R1_G2,36,L218494,0.330,05-03-24,Bill,05-03-24,Bill,W50336ASE390,W50336ASC408,06-18-24,Sn63Pb37,Lucciana ,06-18-24,OK,,,,,,06-20-24,UR6060,ronnie,06-20-24,OK,,06-21-24,06-21-24,OK ,,06-21-24,,    DC.  1/2/2025,9,    DC.  1/2/2025,"Made from scrapped 500 & 504.    Sticky note re: lashing, removed from envelope.  Re-inspected and passed re-tests.  1/02/2025  DC.",,,,,,,,,,,
721,04-08-25,after 4,2.3 R1_G2,36,L218494,0.330,05-03-24,Bill,05-03-24,Bill,W50336ASE390,W50336ASC408,06-18-24,Sn63Pb37,Lucciana ,06-18-24,OK,,,,,,06-20-24,UR6060,ronnie,06-20-24,OK,,06-21-24,06-21-24,OK ,,06-21-24,,,9,,"Made from scrapped 500 & 504 Trimmed epoxy, continuity passed, concerned about wires poking through epoxy on bb15, 7/25: Swabbed by Ronnie for visual inspection, 08/01/2024 fixed will epoxy tomorrow, passed cont: : Epoxied by Lucciana/Felipe, passed continuity",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,"Made from scrapped 504 & Lot L218494 Trimmed epoxy, continuity passed, 7/25: Swabbed by Ronnie for visual inspection ",,,,,,,,,,,
722,,05-08-24,2.2 R4_G3,36,L218494,0.405,05-09-24,Caleb,05-09-24,Bill,W50336ASE390,W50336ASE391,05-17-24,Sn63Pb37,Bill,05-17-24,OK,,,,,,05-22-24,UR6060,Bill,,,,,,,,06-16-24,,,9,,,,,,,,,,,,,
723,06-14-24,05-08-24,2.2 R4_G3,36,L218494,0.405,05-09-24,Caleb,05-09-24,Bill,W50336ASE390,W50336ASE391,05-28-24,Sn63Pb37,Lucciana,05-28-24,OK,,,,,,05-29-24,UR6060,Lucciana ,05-30-24,OK,,06-03-24,06-03-24,OK,,06-04-24,,,7,,7-1 found open after epoxy. It was soldered again after eopsy and the opening was fixed.,,,,,,,,,,,
724,06-14-24,05-08-24,2.2 R4_G3,36,L218494,0.405,05-09-24,Caleb,05-09-24,Bill,W50336ASE390,W50336ASE391,05-29-24,Sn63Pb37,Lucciana,05-29-24,OK,,,,,,05-30-24,UR6060,Lucciana,05-31-24,OK,,06-03-24,06-03-24,OK ,,06-04-24,,,7,,"It needed one more lashing in 310mm , also had 2 ohms on the wire 5-4BA",,,,,,,,,,,
725,06-14-24,05-08-24,2.2 R4_G3,36,L218494,0.405,05-09-24,Caleb,05-09-24,Bill,W50336ASE390,W50336ASE391,05-30-24,Sn63Pb37,Lucciana,05-30-24,NG,2024-05-30,2024-05-30,2024-05-30,OK,,05-30-24,UR6060,Lucciana,05-31-24,OK,,06-03-24,06-03-24,OK,,06-04-24,,,7,,,,,,,,,,,,,
726,06-16-25,05-08-24,2.2 R4_G3,36,L218494,0.405,05-09-24,Caleb,05-09-24,Bill,W50336ASE390,W50336ASE391,05-31-24,Sn63Pb37,Lucciana,05-31-24,OK,,,,,,06-03-24,UR6060,Lucciana,06-03-24,OK,,06-04-24,06-04-24,OK ,,06-04-24,,,7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,,,,,,,,,,,,
727,06-14-24,05-21-24,1.3 R1_G3,36,L218494,0.390,05-21-24,Nora,05-23-24,Caleb,W50336ASE390,W50336ASE391,05-29-24,Sn63Pb37,Ronnie,05-29-24,OK ,,,,,,05-30-24,UR6060,Lucciana,05-30-24,OK,,05-30-24,05-31-24,OK ,,05-31-24,,,7,,,,,,,,,,,,,
728,06-14-24,05-21-24,1.3 R1_G3,36,L218494,0.390,05-21-24,Nora,05-23-24,Caleb,W50336ASE390,W50336ASE391,06-03-24,Sn63Pb37,Ronnie,06-03-24,OK ,,,,,,06-04-24,UR6060,Lucciana,06-04-24,OK ,,06-05-24,06-05-24,OK ,,06-05-24,,,7,,,,,,,,,,,,,
729,06-14-24,05-21-24,1.3 R1_G3,36,L218494,0.390,05-21-24,Nora,05-23-24,Caleb,W50336ASE390,W50336ASE391,05-29-24,Sn63Pb37,Ronnie,05-29-24,OK ,,,,,,05-30-24,UR6060,Lucciana,05-30-24,OK ,,05-30-24,05-31-24,OK ,,05-31-24,,,7,,Restripped A 5/31/24 resoldered 6/3/24 passed cont ready for epoxy,,,,,,,,,,,
730,02-26-25,05-21-24,1.3 R1_G3,36,L218494,0.390,05-21-24,Nora,05-23-24,Caleb,W50336ASE390,W50336ASE391,05-30-24,Sn63Pb37,Ronnie,05-30-24,OK ,,,,,,05-30-24,UR6060,Lucciana,05-31-24,OK ,,06-03-24,06-03-24,OK ,,06-04-24,2025-01-09,  OK 1/9/2025 DC,7,1/10/25  DC.,Added missing lashings.  1/09/25  DC.,,,,,,,,,,,
731,,05-21-24,1.3 R1_G3,36,L218494,0.390,05-21-24,Nora,05-23-24,Caleb,W50336ASE390,W50336ASE391,05-30-24,Sn63Pb37,Ronnie,05-30-24,OK ,06-03-24,,06-03-24,OK,,06-04-24,UR6060,Lucciana,06-04-24,OK ,,06-05-24,,,,06-05-24,2025-01-09,  OK 1/9/2025 DC,7,1/10/25  DC.,"Trimmed epoxy, continuity passed, 7/25: Swabbed by Ronnie for visual inspection.  Added missing lashings, 1/09/25  DC. Too short by 20 mm. ",,,,,,,,,,,
732,02-26-25,05-21-24,1.3 R1_G3,36,L218494,0.390,05-21-24,Nora,05-23-24,Caleb,W50336ASE390,W50336ASE391,05-30-24,Sn63Pb37,Ronnie,05-30-24,OK ,,,,,,05-30-24,UR6060,Lucciana,05-31-24,OK ,,06-03-24,06-03-24,OK ,,06-04-24,2025-01-09,  OK 1/9/2025 DC,7,1/10/25  DC.,"cut and stripped shorter pair before first cont check. Restipped BA 5/31/24.   Resoldered and passed cont, ready for epoxy",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,,,,,,,,,,,,
733,03-17-25,05-23-24,3.2 R3_G2,36,L218494,0.510,05-23-24,Caleb,05-29-24,Caleb,W50336ASE390,W50336ASE391,05-31-24,Sn63Pb37,Lucciana,05-31-24,OK ,,,,,,06-03-24,UR6060,Lucciana,06-03-24,OK ,,06-04-24,06-04-24,OK ,,06-04-24,,,7,,,,,,,,,,,,,
734,06-14-24,05-23-24,3.2 R3_G2,36,L218494,0.510,05-28-24,Lucciana,05-29-24,Caleb,W50336ASE390,W50336ASE391,06-03-24,Sn63Pb37,Lucciana,06-03-24,OK ,,,,,,06-04-24,UR6060,Lucciana,06-04-24,OK ,,06-05-24,06-05-24,NG,,6/?/24,,,#VALUE!,,,,,,,,,,,,,
735,06-14-24,05-23-24,3.2 R3_G2,36,L218494,0.510,05-28-24,Lucciana,05-29-24,Caleb,W50336ASE390,W50336ASE391,06-04-24,Sn63Pb37,Lucciana,06-04-24,OK ,,,,,,06-06-24,UR6060,Lucciana,06-06-24,OK,,06-06-24,06-06-24,OK ,,06-06-24,,,7,,,,,,,,,,,,,
736,03-17-25,05-23-24,3.2 R3_G2,36,L218494,0.510,05-28-24,Lucciana,05-29-24,Caleb,W50336ASE390,W50336ASE391,06-05-24,Sn63Pb37,Lucciana,06-05-24,OK ,,,,,,06-20-24,UR6060,Lucciana,06-18-24,OK,,06-20-24,06-20-24,OK,,06-21-24,,,9,,,,,,,,,,,,,
737,06-14-24,05-23-24,3.2 R3_G2,36,L218494,0.510,05-28-24,Lucciana,05-29-24,Caleb,W50336ASE390,W50336ASE391,06-05-24,Sn63Pb37,Lucciana ,06-05-24,NG ,2024-06-07,,2024-06-07,OK ,,06-10-24,UR6060,Lucciana,06-10-24,OK ,,06-10-24,06-11-24,OK ,,06-11-24,,,8,,Epoxy was taken off carefully and soldered again because it had an open in branch A.  Reepoxy in branch BA,,,,,,,,,,,
738,03-17-25,05-23-24,3.2 R3_G2,36,L218494,0.510,05-28-24,Lucciana,05-29-24,Caleb,W50336ASE390,W50336ASE391,06-05-24,Sn63Pb37,Lucciana,06-05-24,OK ,,,,,,06-06-24,UR6060,Lucciana,06-06-24,OK,,06-06-24,06-07-24,OK,,06-07-24,,,7,,"A wire was cut while soldering, needs restripping in A. Has now been restripped and is ready for solder.",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,,,,,,,,,,,,
739,06-14-24,05-24-24,2.3 R1_G1,36,L218494,0.280,05-28-24,Bill,05-29-24,Caleb,W50336ASE390,W50336ASE391,05-31-24,Sn63Pb37,Ronnie,05-31-24,OK,,,,,,06-03-24,UR6060,Lucciana,06-03-24,OK ,,06-04-24,06-04-24,OK ,,06-04-24,,,7,,,,,,,,,,,,,
740,06-14-24,05-24-24,2.3 R1_G1,36,L218494,0.280,05-28-24,Bill,05-29-24,Caleb,W50336ASE390,W50336ASE391,06-03-24,Sn63Pb37,Ronnie,06-03-24,OK,,,,,,06-04-24,UR6060,Lucciana,06-04-24,OK ,,06-05-24,06-05-24,OK ,,06-05-24,,,7,,"noticed that stripping was not very even, this is crucial to accurately get equal lengths between pairs. ",,,,,,,,,,,
741,03-31-25,05-24-24,2.3 R1_G1,36,L218494,0.280,05-29-24,Bill,05-29-24,Caleb,W50336ASE390,W50336ASE391,06-03-24,Sn63Pb37,Ronnie,06-03-24,OK,,,,,,06-04-24,UR6060,Lucciana,06-04-24,OK ,,06-05-24,06-05-24,OK ,,06-05-24,2025-01-09,  OK 1/9/2025 DC,7,1/10/25  DC.,"During stripping, I (Caleb) noticed that one twisted pair was not properly clamped in the black tape; it was free.  Added missing lashings,  1/09/25 DC.",,,,,,,,,,,
742,03-31-25,05-24-24,2.3 R1_G1,36,L218494,0.280,05-29-24,Bill,05-29-24,Caleb,W50336ASE390,W50336ASE391,06-03-24,Sn63Pb37,Ronnie,06-03-24,OK,,,,,,06-06-24,UR6060,Lucciana,06-06-24,OK,,06-06-24,06-06-24,OK ,,06-06-24,2025-01-09,  OK 1/9/2025 DC,7,1/10/25  DC.,Added missing lashings.  1/09/25  DC.,,,,,,,,,,,
743,03-31-25,05-24-24,2.3 R1_G1,36,L218494,0.280,05-29-24,Bill,05-29-24,Caleb,W50336ASE390,W50336ASE391,05-31-24,Sn63Pb37,Ronnie,05-31-24,OK,,,,,,06-06-24,UR6060,Lucciana,06-06-24,OK ,,06-06-24,06-06-24,OK,,06-06-24,2025-01-09,  OK 1/9/2025 DC,7,1/10/25  DC.,"Added missing lashings.  1/09/25  DC.  Also note: one Contact Pad in middle of paddle A, scratched area; missing gold plating?  Does not affect testing/contact (might not be an active circuit) still passes.  1/09/25 DC.",,,,,,,,,,,
744,03-31-25,05-24-24,2.3 R1_G1,36,L218494,0.280,05-29-24,Bill,05-29-24,Caleb,W50336ASE390,W50336ASE391,05-31-24,Sn63Pb37,Ronnie,05-31-24,NG,05-31-24,,05-31-24,OK,,06-03-24,UR6060,Lucciana,06-03-24,OK ,,06-04-24,06-04-24,OK ,,06-04-24,2025-01-09,  OK 1/9/2025 DC,7,1/10/25  DC.,"soldering outer row then inner row seems to be easier.  Added missing lashings, 1/0925  DC.",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,Soldered paddel BA on backwards. resoldered in correct orientation. cont tested good. one wire looks short on BB. this could have been from uneven stripping. ,,,,,,,,,,,
745,06-14-24,05-24-24,2.3 R2_G1,36,L218494,0.240,05-29-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-04-24,Sn63Pb37,Ronnie,06-04-24,OK,,,,,,06-06-24,UR6060,Lucciana,06-06-24,OK ,,06-06-24,06-06-24,OK ,,06-06-24,,,7,,,,,,,,,,,,,
746,06-14-24,05-24-24,2.3 R2_G1,36,L218494,0.240,05-29-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-04-24,Sn63Pb37,Ronnie,06-04-24,OK,,,,,,06-06-24,UR6060,Lucciana,06-06-24,OK ,,06-06-24,06-07-24,OK ,,06-07-24,,,7,,,,,,,,,,,,,
747,03-07-25,05-24-24,2.3 R2_G1,36,L218494,0.240,05-29-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-06-24,Sn63Pb37,Ronnie,06-06-24,NG,06-06-24,,06-06-24,OK,,06-07-24,UR6060,Lucciana,06-07-24,OK ,,06-10-24,06-10-24,OK ,,06-10-24,,,8,,one wire was soldered ~1mm closer due to break.,,,,,,,,,,,
748,03-07-25,05-24-24,2.3 R2_G1,36,L218494,0.240,05-29-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-06-24,Sn63Pb37,Ronnie,06-07-24,OK,,,,,,06-11-24,UR6060,Lucciana,06-11-24,OK ,,06-11-24,06-12-24,OK,,06-12-24,,,8,,the coating was off center had to clean up but now its ready for epoxy,,,,,,,,,,,
749,,05-24-24,2.3 R2_G1,36,L218494,0.240,05-29-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-06-24,Sn63Pb37,Ronnie,06-06-24,OK,,,,,,06-11-24,UR6060,Lucciana,06-11-24,OK ,,06-11-24,06-12-24,OK,,06-12-24,,,8,,"Epoxy near pin 44 on the 45-pin paddle, B D2_P has infinite resistance using Kyocera, works with Molex but not Kyocera. The 45-pin paddle had to be cleaned off.",,,,,,,,,,,
750,03-07-25,05-24-24,2.3 R2_G1,36,L218494,0.240,05-29-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-07-24,Sn63Pb37,Ronnie,06-07-24,NG,06-07-24,,06-07-24,OK,,06-11-24,UR6060,Lucciana,06-11-24,OK ,,06-11-24,06-12-24,OK,,06-12-24,,,8,,"masking off center just enough to cause some soldering issues barely visible with magnification. fixed and passed continuity, ready for epoxy",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,,,,,,,,,,,,
751,06-14-24,05-24-24,2.3 R2_G4,36,L218494,0.377,05-30-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-06-24,Sn63Pb37,Luccinaa ,06-06-24,OK,,,,,,06-10-24,UR6060,Lucciana,06-10-24,OK ,,06-10-24,06-10-24,OK ,,06-10-24,,,8,,,,,,,,,,,,,
752,06-14-24,05-24-24,2.3 R2_G4,36,L218494,0.377,05-30-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-06-24,Sn63Pb37,Lucciana,06-06-24,OK ,,,,,,06-10-24,UR6060,Lucciana,06-10-24,OK ,,06-10-24,06-10-24,OK ,,06-10-24,,,8,,,,,,,,,,,,,
753,06-14-24,05-24-24,2.3 R2_G4,36,L218494,0.377,05-30-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-07-24,Sn63Pb37,Lucciana,06-07-24,OK ,,,,,,06-10-24,UR6060,Lucciana,06-10-24,OK ,,06-10-24,06-11-24,OK ,,06-11-24,,,8,,,,,,,,,,,,,
754,06-16-25,05-24-24,2.3 R2_G4,36,L218494,0.377,05-30-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-07-24,Sn63Pb37,Lucciana,06-07-24,OK ,,,,,,06-10-24,UR6060,Lucciana,06-10-24,OK ,,06-10-24,06-11-24,OK ,,06-11-24,,,8,,,,,,,,,,,,,
755,,05-24-24,2.3 R2_G4,36,L218494,0.377,05-30-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,07-06-24,Sn63Pb37,Lucciana,07-06-24,NG,2024-10-06,,2024-10-06,OK ,,06-12-24,UR6060,Lucciana,06-12-24,OK ,,06-12-24,06-13-24,OK ,,06-13-24,,,8,,,,,,,,,,,,,
756,,05-24-24,2.3 R2_G4,36,L218494,0.377,05-30-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASC408,06-17-24,Sn63Pb37,Ronnie,06-18-24,OK ,,,,,,06-20-24,UR6060,ronnie,06-20-24,OK ,,06-21-24,06-21-24,OK,,06-21-24,,,9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,,,,,,,,,,,,
757,03-31-25,05-24-24,3.2 R4_G1,36,L218494,0.235,05-30-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-17-24,Sn63Pb37,Ronnie,06-17-24,OK ,,,,,,06-17-24,UR6060,Lucciana,06-17-24,OK,,06-20-24,06-20-24,OK,,06-21-24,,,9,,,,,,,,,,,,,
758,06-14-24,05-24-24,3.2 R4_G1,36,L218494,0.235,05-30-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-12-24,Sn63Pb37,Lucciana,06-12-24,OK ,,,,,,06-13-24,UR6060,Lucciana,06-13-24,OK,,06-13-24,06-14-24,OK ,,06-14-24,,,8,,"one pair shorter then rest, handle with care",,,,,,,,,,,
759,06-14-24,05-24-24,3.2 R4_G1,36,L218494,0.235,05-31-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-12-24,Sn63Pb37,Lucciana,06-12-24,OK ,,,,,,06-13-24,UR6060,Lucciana,06-13-24,OK,,06-13-24,06-14-24,OK ,,06-14-24,,,8,,,,,,,,,,,,,
760,03-31-25,05-24-24,3.2 R4_G1,36,L218494,0.235,05-31-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-12-24,Sn63Pb37,Lucciana,06-13-24,OK,,,,,,06-14-24,UR6060,Lucciana,06-14-24,OK,,06-17-24,06-17-24,OK ,,06-17-24,,,9,,,,,,,,,,,,,
761,03-31-25,05-24-24,3.2 R4_G1,36,L218494,0.235,05-31-24,Bill,05-31-24,Bill,W50336ASE390,W50336ASE391,06-17-24,Sn63Pb37,Lucciana,06-14-24,OK,,,,,,06-20-24,UR6060,ronnie,06-20-24,OK,,06-21-24,06-21-24,OK ,,06-21-24,,,9,,,,,,,,,,,,,
762,03-31-25,05-24-24,3.2 R4_G1,36,L218494,0.235,05-31-24,Caleb,05-31-24,Bill,W50336ASE390,W50336ASE391,06-13-24,Sn63Pb37,Lucciana,06-13-24,OK,,,,,,06-14-24,UR6060,Lucciana,06-14-24,OK,,06-17-24,06-17-24,OK ,,06-17-24,2025-01-09,  OK 1/9/2025 DC,9,1/10/25  DC.,"Side A appears to have missed the neutrilizing dip due to the darkness of the wires.  Neutrilized in 6/14/24 without restripping.  Surface bright as normal.  Suggest soldering attempt.  Added lashings, 1/09/25  DC.",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,"Trimmed epoxy, continuity passed, concerned about wires poking through epoxy on 45, 7/25: Swabbed by Ronnie for visual inspection, 08/01/2024 fixed will epoxy tomorrow, passed cont: Epoxied by Lucciana/Felipe, passed continuity",,,,,,,,,,,
763,06-14-24,05-24-24,3.2 R4_G2,36,L218494,0.315,06-04-24,Alice,06-06-24,Ronnie,W50336ASE390,W50336ASE391,06-11-24,Sn63Pb37,Lucciana,06-11-24,OK ,,,,,,06-12-24,UR6060,Lucciana,06-12-24,OK ,,06-12-24,06-13-24,OK ,,06-13-24,,,8,,,,,,,,,,,,,
764,06-14-24,05-24-24,3.2 R4_G2,36,L218494,0.315,06-04-24,Alice,06-06-24,Ronnie,W50336ASE390,W50336ASE391,06-11-24,Sn63Pb37,Lucciana,06-11-24,NG,2024-06-11,,2024-06-11,OK ,,06-12-24,UR6060,Lucciana,06-12-24,OK ,,06-12-24,06-13-24,OK ,,06-13-24,,,8,,had to redip BA while stripping,,,,,,,,,,,
765,,05-24-24,3.2 R4_G2,36,L218494,0.315,06-04-24,Alice,06-06-24,Ronnie,W50336ASE390,W50336ASE391,06-11-24,Sn63Pb37,Lucciana,06-11-24,OK ,,,,,,06-13-24,UR6060,Lucciana,06-13-24,OK ,,06-13-24,06-14-24,OK ,,06-14-24,2025-01-09,  OK 1/9/2025 DC,8,1/10/25  DC.,had to redip BA while stripping.  Added missing lashings.  1/09/25  DC.,,,,,,,,,,,
766,,05-24-24,3.2 R4_G2,36,L218494,0.315,06-05-24,Alice,06-06-24,Ronnie,W50336ASE390,W50336ASE391,06-13-24,Sn63Pb37,Lucciana,06-13-24,OK ,,,,,,06-14-24,UR6060,Lucciana,06-14-24,OK ,,06-17-24,06-17-24,OK ,,06-17-24,2025-01-09,  OK 1/9/2025 DC,9,1/10/25  DC.,"Trimmed epoxy, continuity passed, concerned about wires poking through epoxy on 45 and bb15, 7/25: Swabbed by Ronnie for visual inspection, 08/01/2024 fixed will epoxy tomorrow, passed cont: : Epoxied by Lucciana/Felipe, passed continuity","Added missing lashings, 1/09/25  DC",,,,,,,,,,
767,,05-24-24,3.2 R4_G2,36,L218494,0.315,06-05-24,Lucciana,06-06-24,Ronnie,W50336ASE390,W50336ASE391 and W50336ASC408,06-14-24,Sn63Pb37,Lucciana,06-14-24,NG,2024-06-14,,2024-06-14,OK ,,06-17-24,UR6060,Lucciana,06-17-24,OK ,,06-20-24,06-20-24,OK ,,06-21-24,Not Usable,  D.C.    8/21/24,9,,"Trimmed epoxy, continuity passed, concerned about wires poking through epoxy 45 and bb15, 7/25: Swabbed by Ronnie for visual inspection, 08/01/2024 fixed will epoxy tomorrow, passed cont: : Epoxied by Lucciana/Felipe, passed continuity",,,,,,,,,,,
768,,05-24-24,3.2 R4_G2,36,L218494,0.315,06-05-24,Lucciana,06-06-24,Ronnie,W50336ASE390,W50336ASE391,06-14-24,Sn63Pb37,Lucciana,06-14-24,NG,2024-06-14,,2024-06-14,OK ,,06-17-24,UR6060,Ronnie,06-17-24,OK ,,06-20-24,06-20-24,OK ,,06-21-24,2025-01-09,  OK 1/9/2025 DC,9,1/10/25  DC.,"Switched wires in BA; 8/09/2024 hole 7 of channel BA fails, seems to have broken under/before epoxy. Repair attempted, paddle fateigued, gold platting came off, probably due to over stressing paddle. Recycle or scrap...... Added missing lashings, passes inspection and all tests, 1/09/25  DC.",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,"Green wires were in the outer wholes, soldered again and passed the continuity test",,,,,,,,,,,
769,,06-20-24,2.2 R4_G3,36,L218494,0.405,06-20-24,Lucciana,06-21-24,Ronnie,W50336ASE390,W50336ASC408,06-26-24,Sn63Pb37,Lucciana,06-26-24,OK ,,,,,,06-28-24,UR6060,Lucciana,06-28-24,OK ,,06-28-24,06-28-24,OK ,,06-28-24,,,10,,,,,,,,,,,,,
770,,06-20-24,2.2 R4_G3,36,L218494,0.405,06-20-24,Ronnie,06-21-24,Ronnie,W50336ASE390,W50336ASC408,06-26-24,Sn63Pb37,Lucciana,06-26-24,NG,2024-06-27,,2024-06-27,OK ,,06-28-24,UR6060,Lucciana,06-28-24,OK ,,06-28-24,06-28-24,OK ,,06-28-24,2025-01-09,  OK 1/9/2025 DC,10,1/10/25  DC.,"Branch BB is shorter.  Added missing lashings, 1/09/25  DC.",,,,,,,,,,,
771,,06-20-24,2.2 R4_G3,36,L218494,0.405,06-20-24,Ronnie,06-21-24,Ronnie,W50336ASE390,W50336ASC408,06-26-24,Sn63Pb37,Lucciana,06-27-24,OK ,,,,,,06-28-24,UR6060,Lucciana,06-28-24,OK ,,06-28-24,06-28-24,OK ,,06-28-24,2025-01-09,  OK 1/9/2025 DC,10,1/10/25  DC.,"Branch BB is shorter.  Added missing lashings, 1/09/25  DC.",,,,,,,,,,,
772,,06-20-24,2.2 R4_G3,36,L218494,0.405,06-20-24,Ronnie,06-21-24,Ronnie,W50336ASE390,W50336ASC408,06-24-24,Sn63Pb37,Ronnie,06-27-24,OK ,,,,,,06-28-24,UR6060,Lucciana,06-28-24,OK ,,06-28-24,06-28-24,OK ,,06-28-24,2025-01-09,  OK 1/9/2025 DC,10,1/10/25  DC.,"Branch BB is shorter.  Added missing lashings, 1/09/25  DC.",,,,,,,,,,,
773,,06-20-24,2.2 R4_G3,36,L218494,0.405,06-20-24,Ronnie,06-21-24,Ronnie,W50336ASE390,W50336ASC408,06-24-24,Sn63Pb37,Ronnie,06-27-24,OK ,,,,,,06-28-24,UR6060,Lucciana,06-28-24,OK ,,06-28-24,06-28-24,OK ,,06-28-24,2025-01-09,  OK 1/9/2025 DC,10,1/10/25  DC.,"Branch BB is shorter.  Added lashings, 1/09/25  DC.",,,,,,,,,,,
774,,06-20-24,2.2 R4_G3,36,L218494,0.405,06/20/24,Ronnie,06-21-24,Ronnie,W50336ASE390,W50336ASC408,06-27-24,Sn63Pb37,Lucciana,06-27-24,OK ,,,,,,06-28-24,UR6060,Lucciana,06-28-24,OK ,,06-28-24,06-28-24,OK ,,06-28-24,2025-01-09,  OK 1/9/2025 DC,10,1/10/25  DC.,Added missing lashings.  1/09/25  DC.,,,,,,,,,,,
775,,06-20-24,2.2 R4_G3,36,L218494,0.405,06/20/24,Ronnie,06-21-24,Ronnie,W50336ASE390,W50336ASC408,07-01-24,Sn63Pb37,Ronnie,07-01-24,OK ,,,,,,07-02-24,UR6060,Lucciana,07-02-24,OK,,07-02-24,07-03-24,OK,,07-03-24,2025-01-09,  OK 1/9/2025 DC,11,1/10/25  DC.,"Trimmed epoxy, continuity passed, 7/25: Swabbed by Ronnie for visual inspection.  Added missing lashings, 1/09/25  DC.",,,,,,,,,,,
776,,06-20-24,2.2 R4_G3,36,L218494,0.405,06/20/24,Ronnie,06-21-24,Ronnie,W50336ASE390,W50336ASC408,06-24-24,Sn63Pb37,Ronnie,06-27-24,OK ,,,,,,06-28-24,UR6060,Lucciana,06-28-24,OK ,,06-28-24,06-28-24,OK ,,06-28-24,2025-01-09,  OK 1/9/2025 DC,10,1/10/25  DC.,Added missing lashings.  1/09/25  DC.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,,,,,,,,,,,,
777,,06-20-24,2.3 R2_G3,36,L218494,0.377,06-21-24,Lucciana,06-21-24,Ronnie,W50336ASE390,W50336ASC408,06-27-27,Sn63Pb37,Lucciana,06-27-27,OK,,,,,,07-02-24,UR6060,Lucciana,07-02-24,OK ,,07-02-24,07-03-24,OK ,,07-03-24,2025-01-09,  OK 1/9/2025 DC,11,1/10/25  DC.,Added missing lashings.  1/09/25  DC.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,,,,,,,,,,,,
